time_s,theta1_exp,theta2_exp
1.48,3.117354976725056,1.3864719178951976
1.49,3.1293981361415413,1.4793851249346157
1.5,3.141592653589793,1.5458015331759765
1.51,-3.1355321217314827,1.6043971212108898
1.52,-3.123412838516815,1.654632968863311
1.53,-3.111298893671018,1.6796085316121416
1.54,-3.105245032570773,1.6972368240532862
1.55,-3.0931457440203136,1.6972368240532862
1.56,-3.0810606338076862,1.6796085316121416
1.57,-3.0689931998592987,1.654632968863311
1.58,-3.0569469092959145,1.6043971212108898
1.59,-3.0449251925680634,1.5458015331759765
1.6,-3.032274119701893,1.4793851249346157
1.61,-3.0142369178621897,1.396124127786657
1.62,-3.002257506275662,1.298101990249229
1.63,-2.990318209754424,1.1766337425246225
1.64,-2.9774390007224056,1.056650170882332
1.65,-2.9595804955205076,0.9160777398125671
1.66,-2.9477389915615766,0.7629300348116228
1.67,-2.93471870461005,0.6055446636049701
1.68,-2.922923707715851,0.4351855462038585
1.69,-2.909809705438376,0.2662520491509254
1.7,-2.8980759777254015,0.08777389232722038
1.71,-2.879046251849694,-0.0791990709694515
1.72,-2.854179742325663,-0.25651661264432357
1.73,-2.8236443622385017,-0.4069707853687713
1.74,-2.791278441354391,-0.552697191635304
1.75,-2.7532739354173272,-0.6846171643127805
1.76,-2.7075063231542655,-0.8078662919832738
1.77,-2.653756214930151,-0.9209258773829491
1.78,-2.5919046236780154,-1.0248974293076074
1.79,-2.5303769732749926,-1.1178244687815455
1.8,-2.4537561082963704,-1.2185983318290832
1.81,-2.37314201999875,-1.3122526042957146
1.82,-2.288501467498376,-1.393806097631554
1.83,-2.1868907120365573,-1.4896739346939956
1.84,-2.085474860936131,-1.5869239606385328
1.85,-1.9623764483560668,-1.6931331606103925
1.86,-1.8275046572282823,-1.8157749899217608
1.87,-1.69663389994406,-1.9209630028850133
1.88,-1.5408651484410882,-2.0271447953520054
1.89,-1.3850824785352527,-2.1154471135199144
1.9,-1.2113278199313902,-2.1747793050478945
1.91,-1.0293490776569838,-2.1882022185464693
1.92,-0.8491414759301353,-2.1431051516362905
1.93,-0.65788860518221,-2.056023319362233
1.94,-0.4636476090008061,-1.8848349518190206
1.95,-0.26836621090590684,-1.668841604088736
1.96,-0.07862545726563365,-1.363723649677865
1.97,0.09725319825156577,-0.9919888663856159
1.98,0.25085231070431846,-0.5693131911006619
