time_s;theta1_exp;theta2_exp;l1_exp;l2_exp
0.0;-3.111298893671018;-3.0309354324158977;165.07574019219177;117.72000679578642
0.01;-3.111298893671018;-2.9876479891314434;165.07574019219177;117.38824472663352
0.02;-3.105245032570773;-2.962497878993151;165.10905486980417;117.88553770501282
0.03;-3.0991938356638533;-2.9358500421917575;165.14841809717706;117.47765745025733
0.04;-3.0991938356638533;-2.9007461983483815;165.14841809717706;117.38824472663352
0.05;-3.0931457440203136;-2.867933332507703;165.19382555047267;118.40608092492548
0.06;-3.0931457440203136;-2.835713782184941;165.19382555047267;119.54915307102765
0.07;-3.087101197349062;-2.8092604835720754;165.24527224704494;119.54078801814885
0.08;-3.087101197349062;-2.7750172637456143;165.24527224704494;119.97082978791136
0.09;-3.080692445311805;-2.737798561704661;164.30459518832697;119.6202324023825
0.1;-3.0810606338076862;-2.6742137186223283;165.3027525481654;119.85407794480753
0.11;-3.0750244898139694;-2.629655477282589;165.36626016210198;120.44085685513866
0.12;-3.0689931998592987;-2.5742293207422757;165.43578814754684;120.95040305844375
0.13;-3.0624897642108886;-2.5127963671743605;164.51443705644803;122.41323457861898
0.14;-3.0629671963241596;-2.425849063920913;165.51132891738862;121.91800523302537
0.15;-3.0503830138331067;-2.3619747726360067;164.68454693747074;122.3315167894194
0.16;-3.0443394553382275;-2.264498333932482;164.77863939236784;123.5556554755791
0.17;-3.0383030151137804;-2.17225103365517;164.87874332369228;123.70933675353692
0.18;-3.032274119701893;-2.056023319362233;164.98484778912274;124.35433245367851
0.19;-3.0202406530190298;-1.9333405640594041;165.21501142450705;124.06449935416659
0.2;-3.008242399418241;-1.7963975706309205;165.46903033498444;125.1718818265508
0.21;-2.990318209754424;-1.6352231662204502;165.89454481688057;124.25779653607253
0.22;-2.971473838173696;-1.482318254313921;165.38742394752995;124.4869471069156
0.23;-2.9477389915615766;-1.3024301158889897;166.1114083980989;124.45481107614924
0.24;-2.922923707715851;-1.1106948022211292;165.95180023127196;126.11502686040232
0.25;-2.8848843231564074;-0.9097531579442097;165.42067585401773;125.41929676090518
0.26;-2.8426518307376347;-0.6896466705016817;166.37908522407497;125.73384588089239
0.27;-2.791278441354391;-0.46718116319866754;166.0873264279969;126.56223765404908
0.28;-2.7343368055149466;-0.22382797147051578;166.6283289239858;126.14673994994877
0.29;-2.667192770797886;0.01587168299179005;166.37307474468338;126.01587201618692
0.3;-2.5919046236780154;0.2641701645806579;166.5322791533221;126.38433447227548
0.31;-2.5052943013874285;0.5240721827749459;166.6043216726385;125.89678312014172
0.32;-2.4154470838557773;0.7853981633974483;167.17057157286985;125.86500705120545
0.33;-2.3182380450040307;1.0290162831461167;167.70509831248424;126.05157674539419
0.34;-2.2166812212993956;1.2816157044103822;167.80047675736802;126.24183141890805
0.35;-2.104036463237821;1.5466074971360604;167.2154299100415;124.03628501370073
0.36;-1.9890206563741257;1.7981986750772652;167.4305826305338;124.19742348374221
0.37;-1.8622531212727638;2.073991650384262;167.0449041425688;124.42266674525185
0.38;-1.732995160258279;2.344831342928054;167.1944975171133;124.45882853377658
0.39;-1.5947438437171042;2.635266349816171;167.0478973228936;125.78155667664477
0.4;-1.4568344249875156;2.9488918949274074;167.08381130438698;125.31959144523253
0.41;-1.317122230656254;-3.0053452563892136;167.35590817177624;125.15989773086265
0.42;-1.1769277160585352;-2.6305353416917465;166.76930173146374;122.67436570041843
0.43;-1.042721878368537;-2.228978273124457;166.70932787339765;122.61321299109652
0.44;-0.9129077216126865;-1.7681918866447774;166.81726529349413;122.37646832622684
0.45;-0.798163427424104;-1.2464617988210989;166.1836333698358;122.38055401083949
0.46;-0.6831914452901948;-0.7103946168803706;166.33099530754933;122.67436570041843
0.47;-0.5662668967057749;-0.18937004997584467;165.89454481688057;122.18428704215611
0.48;-0.43662715981354133;0.2984989315861793;165.5294535724685;122.41323457861898
0.49;-0.2874129112641303;0.7334218978285371;165.8010856418015;122.494897852931
0.5;-0.11464656171265254;1.1071487177940904;166.0903368652132;120.74767078498864
0.51;0.06656816377582381;1.4206738407791344;165.36626016210198;120.3536455617361
0.52;0.25825221981103874;1.6721428300605643;164.45364088398895;118.6086000254619
0.53;0.44994983562794033;1.8525681940682488;163.24827717314508;118.68024266911489
0.54;0.6471551729197198;1.9960013457745147;164.20109622045769;116.36150566231085
0.55;0.8375248124430945;2.0576955586061656;162.85576440519384;115.41230437002807
0.56;1.013500791677391;2.0653221491838747;162.60381299342276;115.88356225108029
0.57;1.187977815074415;2.0267220815544413;160.6268968759591;115.83177456984762
0.58;1.3648955042390207;1.9513027039072615;161.4094173212951;113.08846094982458
0.59;1.5208379310729538;1.8563509975645052;160.1998751560063;113.6001760562016
0.6;1.6786563524669804;1.7359450042095235;157.91770008456936;115.57248807566617
0.61;1.8172924394398926;1.633215136790854;159.8311609167624;112.21853679316978
0.62;1.9536148385153784;1.5177487970334256;160.6268968759591;113.1591799192624
0.63;2.0760865148942913;1.4114446858909797;161.13658802394943;113.43720729989786
0.64;2.1881514648541818;1.3236990227701797;160.65490966665163;114.47707194019246
0.65;2.2984808765833793;1.2490457723982544;159.3643623900902;117.00427342623003
0.66;2.3867526604698446;1.153447653734414;162.00308639035245;115.95257651298655
0.67;2.474581026039237;1.0803352222462552;161.64467204334326;116.76472069936193
0.68;2.5535900500422257;0.996910432498493;162.24980739587951;117.88553770501282
0.69;2.625506973552642;0.922261703465222;162.1141573089778;119.20151005754919
0.7;2.6889638823639412;0.8386023429409392;162.34839081432253;119.6703806294607
0.71;2.751985276336847;0.7389200320464454;163.23296235748464;121.75385004179539
0.72;2.804339465268135;0.6336330080697452;163.19313711060278;121.60592090848209
0.73;2.8565760511029366;0.5221887012066232;163.6001222493431;122.29881438509533
0.74;2.9010584056438886;0.40594998694829726;163.71316379570703;124.08464852672147
0.75;2.9441970937399127;0.28379410920832787;163.1686244349691;125.0
0.76;2.976443976175166;0.15204326786340847;164.23458831805192;125.44720004846661
0.77;3.0134640920490963;0.007999829339886634;164.34719346554112;125.00399993600205
0.78;3.0437465993235007;-0.14415438711315431;163.783393541592;125.29964086141668
0.79;3.074619795380377;-0.2914567944778671;164.3684884641822;125.2836781069266
0.8;3.1050235976762517;-0.42794849632148213;164.1097193952875;125.29964086141668
0.81;3.1355321217314827;-0.552697191635304;165.00303027520434;125.7179382586272
0.82;-3.117354976725056;-0.6846171643127805;165.04847772699995;126.50691680694776
0.83;-3.0810606338076862;-0.7966336456554111;165.3027525481654;125.8729518204765
0.84;-3.0443394553382275;-0.9097531579442097;164.77863939236784;125.41929676090518
0.85;-3.002257506275662;-0.9850159418115831;165.60495161679194;124.80785231707178
0.86;-2.9595804955205076;-1.075244653309068;165.73774464496614;126.17844506887855
0.87;-2.9157012463031644;-1.1574659222555688;165.19685227025363;124.48293055676348
0.88;-2.8674252024701343;-1.2036224929766774;166.20770138594662;125.35549449465708
0.89;-2.816025323834103;-1.254096234507327;165.7045563646335;125.22779244241272
0.9;-2.764449492496228;-1.2968682246414667;165.64117845511726;125.686116973992
0.91;-2.7075063231542655;-1.321964118195749;166.43617395265971;125.87692401707312
0.92;-2.6403283887182107;-1.343393978512528;166.48123017325406;124.19742348374221
0.93;-2.5753257568840184;-1.3547113544981102;165.89454481688057;125.92855117089213
0.94;-2.5004838847300874;-1.3608228139327332;167.20047846821492;124.73972903610141
0.95;-2.419401322089805;-1.3608228139327332;167.91962362987834;124.73972903610141
0.96;-2.3351005729387904;-1.3608228139327332;167.621597653763;124.73972903610141
0.97;-2.238102461773251;-1.3670516459110396;168.04761230080004;123.5556554755791
0.98;-2.135700728825673;-1.3670516459110396;168.11900546934007;123.5556554755791
0.99;-2.021111392501557;-1.384458768017848;167.72000476985446;124.1491039033307
1.0;-1.8944444121209352;-1.417536124926442;166.652332716947;124.45882853377658
1.01;-1.7612314422084507;-1.4393276311080276;169.0562036720333;122.05326705991938
1.02;-1.6067090234094608;-1.4896739346939956;167.10774967068403;123.40583454602137
1.03;-1.4449587536457331;-1.5382874585128727;167.32304085211933;123.06502346320826
1.04;-1.2736154963785808;-1.5789262289748405;167.3349933516597;123.00406497347964
1.05;-1.0963964440029892;-1.5951817359676153;166.37307474468338;123.03657992645927
1.06;-0.8997901944701078;-1.6033051950769206;167.26326554267678;123.06502346320826
1.07;-0.7171283563406208;-1.5380211823908208;165.8493292117879;122.06555615733703
1.08;-0.5146785341412341;-1.4474586258951727;166.58031096140985;121.92620719107111
1.09;-0.31983851083763104;-1.2722973952087173;165.38742394752995;122.41323457861898
1.1;-0.12735573572760361;-1.0516502125483738;165.33904560024533;120.93386622447825
1.11;0.05449145624073119;-0.7676485483409506;165.24527224704494;119.5198728245642
1.12;0.22589140728662901;-0.4294404252294629;165.19685227025363;117.6860229593982
1.13;0.38500578431942517;-0.05123716740341881;165.08482668010407;117.15374513859982
1.14;0.5236846609962432;0.3597756950578168;163.97560794215707;116.45600027478189
1.15;0.6594311337075691;0.7669953331631361;163.22070947033652;115.27792503337315
1.16;0.7897271406845078;1.1693252797327711;163.3431969810803;115.15641536623133
1.17;0.9113651930873276;1.553406775505566;163.22070947033652;115.0173899895142
1.18;1.04094725733883;1.9062446545644045;162.24672569885655;115.43396380615195
1.19;1.1707746318769765;2.234842489621581;161.7714437099453;116.82465493208187
1.2;1.2942016959755644;2.5301751263786065;161.1241757155021;118.46096403457132
1.21;1.427138710629452;2.782821983319221;160.65490966665163;119.61605243444544
1.22;1.5582969777755349;3.0151521563314034;160.0124995117569;118.94956914591998
1.23;1.6710876442118139;-3.0501814517295123;159.80300372646317;120.50311199301038
1.24;1.7915005480132438;-2.8461518164460733;159.8780785473731;120.20815280171308
1.25;1.9004207342156394;-2.6521205286565532;160.64868502418562;121.23530838827442
1.26;2.0036413563821682;-2.4783896608837;159.7310239120754;121.82364302548172
1.27;2.1015698239978033;-2.3042182246234337;160.01562423713506;122.494897852931
1.28;2.2005138474038892;-2.1337472247664033;159.6151621870554;121.79490958164057
1.29;2.2726886939744477;-1.9618444820652081;161.07451691686057;123.30855606972291
1.3;2.356194490192345;-1.7824539940435136;161.22034611053283;123.76186811776881
1.31;2.4342961679123305;-1.5869239606385328;163.1318485152424;124.01612798341996
1.32;2.491918783691728;-1.417536124926442;162.00308639035245;124.45882853377658
